Time,Fz,Mx,My,CoPx,CoPy
0.329000,872.892399,27.598186,-0.478930,0.000549,0.031617
0.330000,872.796399,27.577596,-0.544920,0.000624,0.031597
0.331000,872.798749,27.617076,-0.545520,0.000625,0.031642
0.332000,872.614309,27.655816,-0.588680,0.000675,0.031693
0.333000,872.707179,27.636226,-0.610440,0.000699,0.031667
0.334000,872.522089,27.675186,-0.610260,0.000699,0.031719
0.335000,872.613529,27.655116,-0.677030,0.000776,0.031692
0.336000,872.708749,27.675006,-0.699390,0.000801,0.031712
0.337000,872.803969,27.694896,-0.721750,0.000827,0.031731
0.338000,872.710319,27.713786,-0.788340,0.000903,0.031756
0.339000,872.997409,27.773936,-0.810410,0.000928,0.031814
0.340000,872.905189,27.793306,-0.831990,0.000953,0.031840
0.341000,872.812969,27.812676,-0.853570,0.000978,0.031866
0.342000,872.719319,27.831566,-0.920160,0.001054,0.031891
0.343000,872.904409,27.792606,-0.920340,0.001054,0.031839
0.344000,872.810759,27.811496,-0.986930,0.001131,0.031864
0.345000,873.000279,27.812276,-0.986040,0.001129,0.031858
0.346000,873.095499,27.832166,-1.008400,0.001155,0.031878
0.347000,873.095499,27.832166,-1.008400,0.001155,0.031878
0.348000,873.190719,27.852056,-1.030760,0.001180,0.031897
0.349000,873.098499,27.871426,-1.052340,0.001205,0.031922
0.350000,873.290369,27.911686,-1.052050,0.001205,0.031962
0.351000,873.197499,27.931276,-1.030290,0.001180,0.031987
0.352000,873.478459,27.911986,-1.096170,0.001255,0.031955
0.353000,873.482889,27.951726,-1.095100,0.001254,0.032000
0.354000,873.670979,27.952026,-1.139220,0.001304,0.031994
0.355000,873.670979,27.952026,-1.139220,0.001304,0.031994
0.356000,873.670979,27.952026,-1.139220,0.001304,0.031994
0.357000,873.766199,27.971916,-1.161580,0.001329,0.032013
0.358000,873.859069,27.952326,-1.183340,0.001354,0.031987
0.359000,873.958719,28.011956,-1.204630,0.001378,0.032052
0.360000,873.958719,28.011956,-1.204630,0.001378,0.032052
0.361000,873.958719,28.011956,-1.204630,0.001378,0.032052
0.362000,874.051589,27.992366,-1.226390,0.001403,0.032026
0.363000,874.243459,28.032626,-1.226100,0.001402,0.032065
0.364000,874.432979,28.033406,-1.225210,0.001401,0.032059
0.365000,874.435329,28.072886,-1.225810,0.001402,0.032104
0.366000,874.435329,28.072886,-1.225810,0.001402,0.032104
0.367000,874.528199,28.053296,-1.247570,0.001427,0.032078
0.368000,874.620419,28.033926,-1.225990,0.001402,0.032053
0.369000,874.620419,28.033926,-1.225990,0.001402,0.032053
0.370000,874.812938,28.073966,-1.269040,0.001451,0.032091
0.371000,874.905158,28.054596,-1.247460,0.001426,0.032066
0.372000,875.094028,28.055596,-1.203230,0.001375,0.032060
0.373000,875.094028,28.055596,-1.203230,0.001375,0.032060
0.374000,875.189248,28.075486,-1.225590,0.001400,0.032079
0.375000,875.189898,28.075266,-1.268930,0.001450,0.032079
0.376000,875.186898,28.036006,-1.224990,0.001400,0.032034
0.377000,875.282118,28.055896,-1.247350,0.001425,0.032054
0.378000,875.374988,28.036306,-1.269110,0.001450,0.032028
0.379000,875.374988,28.036306,-1.269110,0.001450,0.032028
0.380000,875.467208,28.016936,-1.247530,0.001425,0.032002
0.381000,875.467208,28.016936,-1.247530,0.001425,0.032002
0.382000,875.374988,28.036306,-1.269110,0.001450,0.032028
0.383000,875.282768,28.055676,-1.290690,0.001475,0.032053
0.384000,875.282768,28.055676,-1.290690,0.001475,0.032053
0.385000,875.374988,28.036306,-1.269110,0.001450,0.032028
0.386000,875.374988,28.036306,-1.269110,0.001450,0.032028
0.387000,875.467208,28.016936,-1.247530,0.001425,0.032002
0.388000,875.560078,27.997346,-1.269290,0.001450,0.031976
0.389000,875.372638,27.996826,-1.268510,0.001449,0.031983
0.390000,875.467858,28.016716,-1.290870,0.001474,0.032002
0.391000,875.372638,27.996826,-1.268510,0.001449,0.031983
0.392000,875.464858,27.977456,-1.246930,0.001424,0.031957
0.393000,875.371988,27.997046,-1.225170,0.001400,0.031983
0.394000,875.279768,28.016416,-1.246750,0.001424,0.032009
0.395000,875.371988,27.997046,-1.225170,0.001400,0.031983
0.396000,875.371988,27.997046,-1.225170,0.001400,0.031983
0.397000,875.371988,27.997046,-1.225170,0.001400,0.031983
0.398000,875.279768,28.016416,-1.246750,0.001424,0.032009
0.399000,875.087898,27.976156,-1.247040,0.001425,0.031970
0.400000,875.087898,27.976156,-1.247040,0.001425,0.031970
0.401000,874.992678,27.956266,-1.224680,0.001400,0.031950
0.402000,874.992028,27.956486,-1.181340,0.001350,0.031951
0.403000,875.089328,27.976636,-1.202030,0.001374,0.031970
0.404000,874.994108,27.956746,-1.179670,0.001348,0.031951
0.405000,875.184548,27.996526,-1.224390,0.001399,0.031989
0.406000,875.184548,27.996526,-1.224390,0.001399,0.031989
0.407000,874.996458,27.996226,-1.180270,0.001349,0.031996
0.408000,875.089328,27.976636,-1.202030,0.001374,0.031970
0.409000,874.809018,27.995706,-1.179490,0.001348,0.032002
0.410000,874.716798,28.015076,-1.201070,0.001373,0.032028
0.411000,874.809018,27.995706,-1.179490,0.001348,0.032002
0.412000,874.809018,27.995706,-1.179490,0.001348,0.032002
0.413000,874.809018,27.995706,-1.179490,0.001348,0.032002
0.414000,874.809018,27.995706,-1.179490,0.001348,0.032002
0.415000,874.620928,27.995406,-1.135370,0.001298,0.032009
0.416000,874.530138,28.015256,-1.111940,0.001271,0.032035
0.417000,874.435838,28.034366,-1.135190,0.001298,0.032060
0.418000,874.342968,28.053956,-1.113430,0.001273,0.032086
0.419000,874.248398,28.033846,-1.134410,0.001298,0.032066
0.420000,874.435838,28.034366,-1.135190,0.001298,0.032060
0.421000,874.435838,28.034366,-1.135190,0.001298,0.032060
0.422000,874.343618,28.053736,-1.156770,0.001323,0.032085
0.423000,874.342968,28.053956,-1.113430,0.001273,0.032086
0.424000,874.252178,28.073806,-1.090000,0.001247,0.032112
0.425000,874.345048,28.054216,-1.111760,0.001272,0.032086
0.426000,874.155528,28.053436,-1.112650,0.001273,0.032092
0.427000,873.967439,28.053136,-1.068530,0.001223,0.032099
0.428000,874.159308,28.093396,-1.068240,0.001222,0.032138
0.429000,874.156958,28.053916,-1.067640,0.001221,0.032093
0.430000,874.064088,28.073506,-1.045880,0.001197,0.032118
0.431000,873.971868,28.092876,-1.067460,0.001221,0.032144
0.432000,873.878999,28.112466,-1.045700,0.001197,0.032170
0.433000,873.782349,28.092096,-1.068350,0.001223,0.032150
0.434000,873.691559,28.111946,-1.044920,0.001196,0.032176
0.435000,873.691559,28.111946,-1.044920,0.001196,0.032176
0.436000,873.598689,28.131536,-1.023160,0.001171,0.032202
0.437000,873.598689,28.131536,-1.023160,0.001171,0.032202
0.438000,873.693909,28.151426,-1.045520,0.001197,0.032221
0.439000,873.506469,28.150906,-1.044740,0.001196,0.032227
0.440000,873.506469,28.150906,-1.044740,0.001196,0.032227
0.441000,873.413599,28.170496,-1.022980,0.001171,0.032253
0.442000,873.226159,28.169976,-1.022200,0.001171,0.032260
0.443000,873.321379,28.189866,-1.044560,0.001196,0.032279
0.444000,873.321379,28.189866,-1.044560,0.001196,0.032279
0.445000,873.229159,28.209236,-1.066140,0.001221,0.032305
0.446000,873.229159,28.209236,-1.066140,0.001221,0.032305
0.447000,873.136289,28.228826,-1.044380,0.001196,0.032330
